Date;VTSIM;SPYSIM;VXUSSIM;GLDSIM;CASHX;SHYSIM;IEFSIM;TLTSIM;ZROZSIM;KMLMSIM;DBMFSIM
31/12/1969;10000;10000;10000;;67639.68;;;;;;
02/01/1970;10121.16;10103.53;10121.69;;67660.93;;;;;;
05/01/1970;10190.41;10154.97;10204.83;;67682.17;;;;;;
06/01/1970;10081.92;10087.06;10020.38;;67703.47;;;;;;
07/01/1970;10118.34;10067.98;10158.07;;67724.69;;;;;;
08/01/1970;10144.11;10074.93;10223.57;;67745.95;;;;;;
09/01/1970;10094.3;10046.09;10128.25;;67767.16;;;;;;
12/01/1970;10010.39;9971.66;10031.24;;67788.14;;;;;;
13/01/1970;10013.35;9997.07;10023.81;;67809.17;;;;;;
14/01/1970;10024.86;9969.3;10106.06;;67830.35;;;;;;
15/01/1970;10035.09;9974.09;10140.36;;67851.45;;;;;;
16/01/1970;10000.42;9893.16;10200.19;;67872.46;;;;;;
19/01/1970;9900.99;9756.9;10160.19;;67893.44;;;;;;
20/01/1970;9932.86;9777.96;10219.12;;67914.51;;;;;;
21/01/1970;9906.3;9792.52;10115.31;;67935.61;;;;;;
22/01/1970;9969.26;9803.81;10285.06;;67956.82;;;;;;
23/01/1970;9873.22;9732.65;10200.61;;67978.02;;;;;;
26/01/1970;9764.72;9603.99;10088.95;;67999.28;;;;;;
27/01/1970;9708.55;9545.85;10044.83;;68020.62;;;;;;
28/01/1970;9612.07;9457.33;9938.1;;68041.97;;;;;;
29/01/1970;9488.28;9339.51;9812.87;;68063.33;;;;;;
30/01/1970;9425.2;9268.35;9786;;68084.56;;;;;;
02/02/1970;9458.39;9349.09;9717.74;;68105.42;;;;;;
03/02/1970;9510.22;9461.29;9619.18;;68126.23;;;;;;
04/02/1970;9500.06;9405.32;9730.31;;68146.93;;;;;;
05/02/1970;9459.35;9369.97;9678.3;;68167.38;;;;;;
06/02/1970;9507.77;9418.16;9705.48;;68187.45;;;;;;
09/02/1970;9604.69;9493.47;9838.52;;68207.2;;;;;;
10/02/1970;9537.05;9396.27;9811.32;;68226.91;;;;;;
11/02/1970;9586.35;9488.94;9776.53;;68246.54;;;;;;
12/02/1970;9532.81;9467.69;9643.84;;68266.17;;;;;;
13/02/1970;9561.31;9448.61;9763.17;;68285;;;;;;
16/02/1970;9550.73;9442.55;9737.46;;68303.51;;;;;;
17/02/1970;9491.54;9433.24;9584.76;;68321.85;;;;;;
18/02/1970;9599.62;9550.86;9677.15;;68340.21;;;;;;
19/02/1970;9635.55;9587.11;9726.03;;68358.62;;;;;;
20/02/1970;9603.09;9617.93;9552.63;;68377.07;;;;;;
24/02/1970;9607.33;9615.13;9565.31;;68395.74;;;;;;
25/02/1970;9698.16;9764.21;9533.94;;68414.44;;;;;;
26/02/1970;9711.25;9716.92;9673.49;;68433.12;;;;;;
27/02/1970;9754.05;9783.55;9659;;68451.72;;;;;;
02/03/1970;9744.07;9807.86;9596.54;;68470.38;;;;;;
03/03/1970;9771;9865.81;9556.5;;68489.18;;;;;;
04/03/1970;9793.96;9846.73;9670.79;;68508.02;;;;;;
05/03/1970;9774.48;9843.92;9609.78;;68526.72;;;;;;
06/03/1970;9739.14;9784.7;9635.81;;68545.35;;;;;;
09/03/1970;9620.61;9685.34;9485.37;;68564.01;;;;;;
10/03/1970;9606.96;9712.91;9410.43;;68582.26;;;;;;
11/03/1970;9607.32;9707.94;9433.84;;68600.55;;;;;;
12/03/1970;9553.05;9670.42;9364.33;;68618.93;;;;;;
13/03/1970;9514.25;9620.96;9364.98;;68637.36;;;;;;
16/03/1970;9409.28;9519.43;9265.54;;68655.94;;;;;;
17/03/1970;9401.59;9562.19;9161.01;;68674.49;;;;;;
18/03/1970;9455.35;9590.85;9268.13;;68692.89;;;;;;
19/03/1970;9423.79;9579.36;9223.44;;68711.01;;;;;;
20/03/1970;9377.16;9540.85;9177.45;;68728.79;;;;;;
23/03/1970;9382.13;9534.49;9214.28;;68745.56;;;;;;
24/03/1970;9486.92;9644.29;9332.63;;68762.15;;;;;;
25/03/1970;9701.48;9841.76;9562.23;;68778.93;;;;;;
26/03/1970;9744.09;9859.5;9666.88;;68796.02;;;;;;
30/03/1970;9733.5;9829.03;9685.65;;68813.27;;;;;;
31/03/1970;9720.42;9830.34;9650;;68830.69;;;;;;
01/04/1970;9770.27;9879.86;9707.55;;68848.01;;;;;;
02/04/1970;9765.05;9850.48;9766.24;;68865.36;;;;;;
03/04/1970;9761.53;9807.96;9851.02;;68882.74;;;;;;
06/04/1970;9669.76;9740.22;9730.88;;68900.2;;;;;;
07/04/1970;9631.91;9715.23;9681.69;;68917.81;;;;;;
08/04/1970;9631.32;9713.25;9713.77;;68935.4;;;;;;
09/04/1970;9635.78;9718.94;9743.38;;68952.85;;;;;;
10/04/1970;9578.8;9688.47;9650.13;;68970.25;;;;;;
13/04/1970;9494.56;9624.03;9564.76;;68987.6;;;;;;
14/04/1970;9400.21;9543.15;9438.27;;69004.91;;;;;;
15/04/1970;9362.01;9526.92;9376.3;;69022.38;;;;;;
16/04/1970;9257.24;9435.08;9270.94;;69039.91;;;;;;
17/04/1970;9239.62;9413.38;9275.98;;69057.44;;;;;;
20/04/1970;9250.98;9432.22;9264.04;;69075.2;;;;;;
21/04/1970;9181;9384.22;9153.26;;69093.12;;;;;;
22/04/1970;9056.02;9263.89;9047.02;;69111.6;;;;;;
23/04/1970;8932.47;9130.42;8973.46;;69129.65;;;;;;
24/04/1970;8889.12;9102.14;8930.24;;69147.75;;;;;;
